,Headline
0,Snow Day for Jan. 18: Which Metro Vancouver schools are open and closed
1,"Parts of B.C. dealing with major snowfall, closed schools, difficult travel"
2,STORM CENTRE: Lower Mainland blanketed with snow
3,Snow Day: Here is a list of live webcams showing current road conditions on Vancouver Island
4,Driver dead in Vancouver parkade crash at UBC: police - BC News
5,Car crashes through UBC parkade
6,Vehicle crashes through 2nd-storey parkade on UBC campus: Vancouver Fire Rescue
7,"VFRS: SUV falls out of parkade at UBC, rescue service called"
8,Prime Minister Justin Trudeau heads to Nunavut for signing on transfer of powers
9,Trudeau to sign long-awaited devolution agreement with Nunavut Thursday
10,Justin Trudeau in Nunavut to sign 'historic' agreement
11,"Trudeau, Akeeagok to sign ‘largest land transfer in Canada’s history’"
12,Canadian charged for allegedly lighting a fire that grew to be the largest in Nova Scotia's history
13,N.S. news: Man charged following Barrington Lake fire
14,Nova Scotia man charged with igniting massive Barrington Lake wildfire - Canada News
15,Young man charged over devastating Shelburne County wildfire
16,Auto shop owner advises all vehicle buyers in Sask. to ask about the block heater
17,‘Paying it forward’: Roadside assistance in Saskatchewan during cold snap
18,CAA Sask. fields thousands of service requests during extreme cold
19,"Mechanic shows how to check if your vehicle has a block heater, says many don't"
20,Damien Sanderson’s last text messages before 2022 mass killing revealed
21,Partner of killer in James Smith Cree Nation mass stabbing expected to speak at inquest Thursday
22,RCMP details 42 crime scenes at Sask. mass stabbing inquest
23,Sask. stabbings inquest: First responder describes chaotic scene
24,Video released of ‘suspicious’ Richmond Hill truck fire
25,Video shows trucks being set ablaze at Richmond Hill yard
26,Video released of 'suspicious' Richmond Hill truck fire | CTV News
27,Police release video showing suspect setting truck cabs on fire in Richmond Hill
28,Man found dead in Leslieville rooming house fire
29,One person dead after house fire breaks out in Leslieville
30,1 dead after fire at rooming house in Toronto's east end
31,One person dead after being pulled from Leslieville house fire
32,"Removing barriers to build more homes, faster in Saint John, New Brunswick"
33,Feds will give St. Catharines $25M to boost housing supply
34,$21-million funding to speed up Burlington housing
35,Saint John news: 285 new housing units fast-tracked
36,Beaumont fires believed to be linked to Edmonton extortions
37,"Drive-by shooting tied to ongoing extortion attempts, Edmonton police say"
